imagen,clase
/content/drive/MyDrive/dataset/80211nMcs3/11nmcs3_2_2p_parte1.png,80211nMcs3
/content/drive/MyDrive/dataset/80211nMcs3/11nmcs3_3_2p_parte2.png,80211nMcs3
/content/drive/MyDrive/dataset/80211nMcs3/11nmcs3_5_2p_parte2.png,80211nMcs3
/content/drive/MyDrive/dataset/80211nMcs3/11nmcs3_5_2p_parte1.png,80211nMcs3
/content/drive/MyDrive/dataset/80211nMcs3/11nmcs3_3_2p_parte1.png,80211nMcs3
/content/drive/MyDrive/dataset/80211nMcs3/11nmcs3_4_2p_parte1.png,80211nMcs3
/content/drive/MyDrive/dataset/80211nMcs3/11nmcs3_4_2p_parte2.png,80211nMcs3
/content/drive/MyDrive/dataset/80211nMcs3/11nmcs3_2_2p_parte2.png,80211nMcs3
/content/drive/MyDrive/dataset/80211nMcs3/11nmcs3_1_4p_parte2.png,80211nMcs3
/content/drive/MyDrive/dataset/80211nMcs3/11nmcs3_1_4p_parte3.png,80211nMcs3
/content/drive/MyDrive/dataset/80211nMcs3/11nmcs3_1_4p_parte1.png,80211nMcs3
/content/drive/MyDrive/dataset/80211nMcs3/11nmcs3_1_4p_parte4.png,80211nMcs3
