imagen,clase
/content/drive/MyDrive/dataset/80211g48M/11g48m_3_2p_parte1.png,80211g48M
/content/drive/MyDrive/dataset/80211g48M/11g48m_5_2p_parte1.png,80211g48M
/content/drive/MyDrive/dataset/80211g48M/11g48m_4_2p_parte2.png,80211g48M
/content/drive/MyDrive/dataset/80211g48M/11g48m_2_2p_parte2.png,80211g48M
/content/drive/MyDrive/dataset/80211g48M/11g48m_2_2p_parte1.png,80211g48M
/content/drive/MyDrive/dataset/80211g48M/11g48m_4_2p_parte1.png,80211g48M
/content/drive/MyDrive/dataset/80211g48M/11g48m_5_2p_parte2.png,80211g48M
/content/drive/MyDrive/dataset/80211g48M/11g48m_3_2p_parte2.png,80211g48M
/content/drive/MyDrive/dataset/80211g48M/11g48m_1_4p_parte1.png,80211g48M
/content/drive/MyDrive/dataset/80211g48M/11g48m_1_4p_parte2.png,80211g48M
/content/drive/MyDrive/dataset/80211g48M/11g48m_1_4p_parte4.png,80211g48M
/content/drive/MyDrive/dataset/80211g48M/11g48m_1_4p_parte3.png,80211g48M
