imagen,clase
/content/drive/MyDrive/dataset/80211g9M/11g9m_4_2p_parte2.png,80211g9M
/content/drive/MyDrive/dataset/80211g9M/11g9m_3_2p_parte2.png,80211g9M
/content/drive/MyDrive/dataset/80211g9M/11g9m_3_2p_parte1.png,80211g9M
/content/drive/MyDrive/dataset/80211g9M/11g9m_5_2p_parte2.png,80211g9M
/content/drive/MyDrive/dataset/80211g9M/11g9m_2_2p_parte2.png,80211g9M
/content/drive/MyDrive/dataset/80211g9M/11g9m_2_2p_parte1.png,80211g9M
/content/drive/MyDrive/dataset/80211g9M/11g9m_4_2p_parte1.png,80211g9M
/content/drive/MyDrive/dataset/80211g9M/11g9m_5_2p_parte1.png,80211g9M
/content/drive/MyDrive/dataset/80211g9M/11g9m_1_4p_parte4.png,80211g9M
/content/drive/MyDrive/dataset/80211g9M/11g9m_1_4p_parte3.png,80211g9M
/content/drive/MyDrive/dataset/80211g9M/11g9m_1_4p_parte2.png,80211g9M
/content/drive/MyDrive/dataset/80211g9M/11g9m_1_4p_parte1.png,80211g9M
/content/drive/MyDrive/dataset/80211g6M/11g6m_3_2p_parte1.png,80211g6M
/content/drive/MyDrive/dataset/80211g6M/11g6m_2_2p_parte2.png,80211g6M
/content/drive/MyDrive/dataset/80211g6M/11g6m_2_2p_parte1.png,80211g6M
/content/drive/MyDrive/dataset/80211g6M/11g6m_4_2p_parte2.png,80211g6M
/content/drive/MyDrive/dataset/80211g6M/11g6m_3_2p_parte2.png,80211g6M
/content/drive/MyDrive/dataset/80211g6M/11g6m_4_2p_parte1.png,80211g6M
/content/drive/MyDrive/dataset/80211g6M/11g6m_5_2p_parte1.png,80211g6M
/content/drive/MyDrive/dataset/80211g6M/11g6m_5_2p_parte2.png,80211g6M
/content/drive/MyDrive/dataset/80211g6M/11g6m_1_4p_parte1.png,80211g6M
/content/drive/MyDrive/dataset/80211g6M/11g6m_1_4p_parte2.png,80211g6M
/content/drive/MyDrive/dataset/80211g6M/11g6m_1_4p_parte4.png,80211g6M
/content/drive/MyDrive/dataset/80211g6M/11g6m_1_4p_parte3.png,80211g6M
/content/drive/MyDrive/dataset/80211g54M/11g54m_2_2p_parte1.png,80211g54M
/content/drive/MyDrive/dataset/80211g54M/11g54m_2_2p_parte2.png,80211g54M
/content/drive/MyDrive/dataset/80211g54M/11g54m_5_2p_parte1.png,80211g54M
/content/drive/MyDrive/dataset/80211g54M/11g54m_4_2p_parte2.png,80211g54M
/content/drive/MyDrive/dataset/80211g54M/11g54m_3_2p_parte2.png,80211g54M
/content/drive/MyDrive/dataset/80211g54M/11g54m_3_2p_parte1.png,80211g54M
/content/drive/MyDrive/dataset/80211g54M/11g54m_5_2p_parte2.png,80211g54M
/content/drive/MyDrive/dataset/80211g54M/11g54m_4_2p_parte1.png,80211g54M
/content/drive/MyDrive/dataset/80211g54M/11g54m_1_4p_parte4.png,80211g54M
/content/drive/MyDrive/dataset/80211g54M/11g54m_1_4p_parte3.png,80211g54M
/content/drive/MyDrive/dataset/80211g54M/11g54m_1_4p_parte1.png,80211g54M
/content/drive/MyDrive/dataset/80211g54M/11g54m_1_4p_parte2.png,80211g54M
/content/drive/MyDrive/dataset/Ruido/ruido_1_1p.png,Ruido
/content/drive/MyDrive/dataset/Ruido/ruido_2_2p_parte1.png,Ruido
/content/drive/MyDrive/dataset/Ruido/ruido_3_2p_parte2.png,Ruido
/content/drive/MyDrive/dataset/Ruido/ruido_5_2p_parte1.png,Ruido
/content/drive/MyDrive/dataset/Ruido/ruido_3_2p_parte1.png,Ruido
/content/drive/MyDrive/dataset/Ruido/ruido_5_2p_parte2.png,Ruido
/content/drive/MyDrive/dataset/Ruido/ruido_4_2p_parte1.png,Ruido
/content/drive/MyDrive/dataset/Ruido/ruido_4_2p_parte2.png,Ruido
/content/drive/MyDrive/dataset/Ruido/ruido_2_2p_parte2.png,Ruido
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_3_2p_parte2.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_5_2p_parte2.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_4_2p_parte1.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_2_2p_parte1.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_2_2p_parte2.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_4_2p_parte2.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_3_2p_parte1.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_5_2p_parte1.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_1_4p_parte2.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_1_4p_parte3.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_1_4p_parte1.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_1_4p_parte4.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_3_2p_parte2.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_4_2p_parte2.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_3_2p_parte1.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_5_2p_parte1.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_5_2p_parte2.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_4_2p_parte1.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_1_4p_parte1.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_1_4p_parte2.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_1_4p_parte3.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_2_4p_parte4.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_1_4p_parte4.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_2_4p_parte2.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_2_4p_parte1.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs5/11nmcs5_2_4p_parte3.png,80211nMcs5
/content/drive/MyDrive/dataset/80211nMcs7/11nmcs7_4_2p_parte2.png,80211nMcs7
/content/drive/MyDrive/dataset/80211nMcs7/11nmcs7_2_2p_parte2.png,80211nMcs7
/content/drive/MyDrive/dataset/80211nMcs7/11nmcs7_3_2p_parte2.png,80211nMcs7
/content/drive/MyDrive/dataset/80211nMcs7/11nmcs7_5_2p_parte1.png,80211nMcs7
/content/drive/MyDrive/dataset/80211nMcs7/11nmcs7_4_2p_parte1.png,80211nMcs7
/content/drive/MyDrive/dataset/80211nMcs7/11nmcs7_5_2p_parte2.png,80211nMcs7
/content/drive/MyDrive/dataset/80211nMcs7/11nmcs7_3_2p_parte1.png,80211nMcs7
