imagen,clase
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_3_2p_parte2.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_5_2p_parte2.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_4_2p_parte1.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_2_2p_parte1.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_2_2p_parte2.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_4_2p_parte2.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_3_2p_parte1.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_5_2p_parte1.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_1_4p_parte2.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_1_4p_parte3.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_1_4p_parte1.png,80211nMcs2
/content/drive/MyDrive/dataset/80211nMcs2/11nmcs2_1_4p_parte4.png,80211nMcs2
